iter	BalancedAccuracy	Logloss
0	0.7819198509	0.683644447
1	0.7861136999	0.6741111977
2	0.7945013979	0.6649301763
3	0.7968313141	0.6575647733
4	0.7931034483	0.6500874797
5	0.7926374651	0.6422273332
6	0.7889095993	0.6358188802
7	0.7893755825	0.6287678443
8	0.7903075489	0.6215871335
9	0.7865796831	0.6144416636
10	0.788443616	0.6074449284
11	0.7879776328	0.6012537177
12	0.788443616	0.5955820654
13	0.7917054986	0.5902028326
14	0.7926374651	0.5845967566
15	0.7921714818	0.5792906773
16	0.7931034483	0.5743410923
17	0.7935694315	0.5695091519
18	0.7940354147	0.5655702283
19	0.7907735322	0.5618023366
20	0.7907735322	0.5589523355
21	0.7907735322	0.5542166388
22	0.7907735322	0.5507042988
23	0.7907735322	0.5472062332
24	0.7898415657	0.5437679425
25	0.7917054986	0.5408856686
26	0.7912395154	0.5384039196
27	0.7898415657	0.5358271125
28	0.7912395154	0.5323191885
29	0.7912395154	0.5290838913
30	0.7931034483	0.5263822971
31	0.7926374651	0.5232374934
32	0.7940354147	0.5205623706
33	0.7935694315	0.5184359939
34	0.7949673812	0.516586305
35	0.7935694315	0.5143933633
36	0.7949673812	0.5119415313
37	0.7935694315	0.5103366504
38	0.7945013979	0.5074673072
39	0.7949673812	0.5055017311
40	0.7945013979	0.5038563452
41	0.7940354147	0.5017740296
42	0.7945013979	0.4996814523
43	0.7940354147	0.497396627
44	0.7940354147	0.4949355869
45	0.7963653308	0.4932381809
46	0.7963653308	0.4907930806
47	0.7968313141	0.4894706708
48	0.7977632805	0.4877086919
49	0.7977632805	0.4858330134
50	0.7968313141	0.4845198956
51	0.7972972973	0.4828156413
52	0.7968313141	0.4818529131
53	0.7968313141	0.4808081283
54	0.7968313141	0.4787496389
55	0.7968313141	0.4774241394
56	0.7968313141	0.4756585701
57	0.7968313141	0.4738755155
58	0.7982292637	0.4726753635
59	0.7982292637	0.4711968396
60	0.8000931966	0.4699835084
61	0.7996272134	0.4688469951
62	0.7996272134	0.4672727548
63	0.8010251631	0.4658064159
64	0.8010251631	0.4647792661
65	0.8005591799	0.4636255531
66	0.8010251631	0.462500103
67	0.8010251631	0.4612289263
68	0.8019571295	0.4599683178
69	0.8014911463	0.4587425888
70	0.8019571295	0.4573287926
71	0.8019571295	0.4565289596
72	0.8024231128	0.4550319965
73	0.8024231128	0.4541981762
74	0.8019571295	0.453215223
75	0.8024231128	0.4518982609
76	0.802889096	0.4510061525
77	0.802889096	0.449775909
78	0.802889096	0.4489187485
79	0.802889096	0.4478839485
80	0.802889096	0.4472848822
81	0.8024231128	0.4466094581
82	0.8019571295	0.4457340988
83	0.8019571295	0.4447394875
