iter	Passed	Remaining
0	8	8127
1	14	7467
2	22	7380
3	28	7126
4	35	7111
5	42	6993
6	48	6910
7	55	6935
8	63	6969
9	70	7025
10	77	6967
11	84	6959
12	91	6953
13	98	6946
14	105	6953
15	113	6949
16	120	6958
17	127	6939
18	134	6953
19	141	6931
20	148	6925
21	155	6918
22	163	6951
23	170	6935
24	177	6938
25	185	6943
26	192	6929
27	199	6930
28	206	6915
29	214	6925
30	221	6919
31	228	6912
32	235	6894
33	243	6908
34	249	6892
35	256	6869
36	264	6877
37	272	6892
38	279	6883
39	286	6864
40	293	6863
41	300	6844
42	307	6844
43	315	6845
44	322	6845
45	329	6842
46	337	6839
47	345	6845
48	352	6839
49	359	6835
50	366	6820
51	373	6809
52	380	6796
53	387	6779
54	393	6760
55	399	6738
56	406	6722
57	412	6698
58	419	6688
59	425	6672
60	432	6652
61	440	6661
62	446	6644
63	454	6643
64	461	6633
65	467	6618
66	474	6607
67	480	6590
68	487	6574
69	493	6555
70	500	6546
71	507	6536
72	514	6528
73	520	6512
74	526	6494
75	533	6482
76	539	6466
77	546	6454
78	552	6439
79	558	6422
80	565	6412
81	572	6407
82	579	6401
83	586	6390
84	592	6375
85	598	6362
86	605	6350
87	612	6346
88	618	6333
89	625	6319
90	631	6307
91	637	6292
92	644	6281
93	650	6268
94	656	6254
95	662	6242
96	669	6235
97	676	6225
98	683	6216
99	689	6206
100	696	6196
101	702	6183
102	708	6174
103	715	6161
104	721	6151
105	728	6141
106	734	6129
107	740	6119
108	747	6107
109	753	6096
110	759	6085
111	766	6073
112	772	6064
113	779	6058
114	786	6050
115	792	6041
116	798	6029
117	805	6022
118	812	6011
119	818	6001
120	824	5990
121	830	5978
122	837	5970
123	843	5960
124	850	5952
125	856	5942
126	863	5932
127	870	5928
128	877	5924
129	884	5919
130	890	5909
131	897	5901
132	903	5891
133	910	5882
134	916	5874
135	923	5866
136	929	5857
137	936	5852
138	942	5840
139	950	5837
140	959	5846
141	969	5855
142	976	5851
143	982	5842
144	989	5833
145	995	5825
146	1002	5815
147	1009	5811
148	1016	5807
149	1024	5803
150	1030	5796
151	1037	5787
152	1044	5780
153	1050	5770
154	1056	5761
155	1063	5752
156	1069	5742
157	1076	5736
158	1083	5731
159	1089	5722
160	1096	5712
161	1102	5704
162	1109	5697
163	1115	5688
164	1122	5680
165	1128	5670
166	1134	5660
167	1141	5652
168	1147	5643
169	1154	5636
170	1160	5627
171	1167	5619
172	1174	5614
173	1181	5607
174	1187	5598
175	1193	5589
176	1200	5580
177	1206	5572
178	1213	5563
179	1219	5555
180	1225	5546
181	1232	5537
182	1238	5529
183	1244	5521
184	1251	5513
185	1257	5504
186	1264	5496
187	1270	5488
188	1276	5479
189	1283	5471
190	1290	5464
191	1297	5458
192	1303	5450
193	1309	5442
194	1316	5435
195	1322	5426
196	1329	5418
197	1335	5409
198	1341	5401
199	1348	5394
200	1354	5385
201	1362	5380
202	1372	5387
203	1380	5388
204	1390	5394
205	1399	5393
206	1406	5388
207	1413	5382
208	1420	5374
209	1426	5368
210	1433	5359
211	1439	5351
212	1446	5344
213	1452	5335
214	1459	5330
215	1465	5321
216	1472	5311
217	1480	5309
218	1486	5302
219	1493	5295
220	1500	5287
221	1506	5280
222	1513	5274
223	1521	5270
224	1529	5266
225	1535	5260
226	1542	5253
227	1548	5244
228	1555	5236
229	1561	5227
230	1567	5219
231	1575	5214
232	1581	5206
233	1588	5199
234	1594	5191
235	1601	5185
236	1608	5176
237	1614	5168
238	1620	5161
239	1627	5152
240	1633	5145
